origFID	bottom	left	right	top	value	scalerank	admin	adm0_a3	region	area_sq_m	zoom_start
996	21.214273	103.657798	105.840103	25.103172	26864	1	China	CHN	Asia	114415539160.256	11
996	21.042072	105.840103	108.233993	25.103172	26868	1	China	CHN	Asia	130985201068.977	11
995	21.00844	108.233993	109.129943	22.816467	26869	1	China	CHN	Asia	21638222421.8125	11
995	22.816467	108.233993	109.129943	25.103172	26870	1	China	CHN	Asia	27785032885.459	11
995	21.00844	109.129943	113.106437	23.005485	26871	1	China	CHN	Asia	106148836655.242	11
995	23.005485	109.129943	113.106437	25.103172	26872	1	China	CHN	Asia	113206348555.799	11
995	14.717054	113.309776	114.173706	22.149723	26878	0			High Seas	83948537203.0293	11
996	23.451656	113.309776	114.173706	25.103172	26912	1	China	CHN	Asia	19397111928.0293	11
995	14.717054	114.173706	120.271499	15.483579	26913	0			High Seas	59993723082.8516	11
995	15.483579	114.173706	120.339637	16.417739	26929	0			High Seas	74236799620.5039	11
995	16.417739	114.297477	120.315086	22.278623	26941	0			High Seas	463461176600.225	11
996	18.196086	120.315216	120.757408	22.278623	26950	0			High Seas	23849185461.666	11
996	22.807422	114.263809	116.368019	25.103172	26956	1	China	CHN	Asia	65511230224.7656	11
995	22.278623	116.368019	118.123573	24.432849	26957	0			Asia	51051838127.5762	11
995	24.460468	116.368019	118.094238	25.103172	26959	1	China	CHN	Asia	15142916032.6484	11
995	22.278623	118.123573	120.212265	23.032989	26961	0			High Seas	21158207887.5723	11
995	23.032989	118.586814	120.533233	23.69399	26970	0			High Seas	17367525519.2734	11
996	23.69399	118.586814	120.533233	25.103172	26971	0			High Seas	37324059417.625	11
996	14.842142	120.98059	124.609527	15.491187	26994	0			High Seas	30240990651.9922	11
995	15.520677	120.757408	121.457939	17.612447	26996	1	Philippines	PHL	Asia	18946321558.0039	11
995	15.491187	121.665878	124.609527	17.612447	26998	0			High Seas	80729285268.2656	11
995	17.612447	120.757408	124.609527	19.5	26999	0			Asia	95049881797.1797	11
995	19.5	120.757408	124.609527	23.826	27000	0			High Seas	222267111398.154	11
996	23.826	121.606575	124.609527	24.331056	27002	0			High Seas	20585795576.1641	11
996	25.272966	51.550746	55.309272	26.140342	27047	0			Asia	44836924351.6045	11
