origFID	bottom	left	right	top	value	scalerank	admin	adm0_a3	region	area_sq_m	zoom_start
13864	41.514171	-73.593574	-73.471717	41.662528	995	1	United States of America	USA	North America	299528753.28125	15
13865	41.514171	-73.471717	-73.417823	41.662528	995	1	United States of America	USA	North America	132473330.453125	15
13866	41.514171	-73.417823	-73.297424	41.577548	995	1	United States of America	USA	North America	126342271.484375	15
13867	41.577548	-73.417823	-73.297424	41.662528	996	1	United States of America	USA	North America	169602666.984375	15
13868	41.662528	-73.891502	-73.790313	41.70161	1990	1	United States of America	USA	North America	65617741.070312	15
13869	41.70161	-73.891502	-73.790313	41.791397	995	1	United States of America	USA	North America	150901452.84375	15
13871	41.662528	-73.790313	-73.584434	41.773918	995	1	United States of America	USA	North America	380727077.148438	15
13875	42.196239	-73.985321	-73.763191	42.255142	995	1	United States of America	USA	North America	218957631.28125	15
13878	42.428787	-73.796188	-73.763191	42.614181	995	1	United States of America	USA	North America	102856431.875	15
13879	42.614181	-73.985321	-73.763191	42.652992	3981	1	United States of America	USA	North America	145212376.195312	15
13880	42.652992	-73.985321	-73.763191	42.669029	7961	1	United States of America	USA	North America	60029313.03125	15
13881	42.669029	-73.985321	-73.763191	42.768611	15923	1	United States of America	USA	North America	373100162.78125	15
13885	42.455463	-73.702301	-73.679069	42.65036	995	1	United States of America	USA	North America	76167850.554688	15
13888	42.713119	-73.763191	-73.297424	42.768611	15923	1	United States of America	USA	North America	436104656.007812	15
13889	42.768611	-73.985321	-73.93682	42.881057	3980	1	United States of America	USA	North America	92145791.742188	15
13890	42.768611	-73.93682	-73.834762	42.814785	1990	1	United States of America	USA	North America	79577913.195312	15
13891	42.814785	-73.93682	-73.834762	42.881057	1991	1	United States of America	USA	North America	114319433.539062	15
13892	42.768611	-73.834762	-73.773895	42.881057	1990	1	United States of America	USA	North America	115639634.359375	15
13893	42.768611	-73.773895	-73.711151	42.881057	1990	1	United States of America	USA	North America	119205697.96875	15
13894	42.768611	-73.711151	-73.691108	42.881057	3981	1	United States of America	USA	North America	38079175.765625	15
